I10_PR,CCS,CCS_lvl1,CCS_lvl2
0TJ97ZZ,PR100,PR-10,PR-10.1
0TJ98ZZ,PR100,PR-10,PR-10.1
0TJB4ZZ,PR100,PR-10,PR-10.1
0TJB7ZZ,PR100,PR-10,PR-10.1
0TJB8ZZ,PR100,PR-10,PR-10.1
0TJD4ZZ,PR100,PR-10,PR-10.1
0TJD7ZZ,PR100,PR-10,PR-10.1
0TJD8ZZ,PR100,PR-10,PR-10.1
0TJDXZZ,PR100,PR-10,PR-10.1
0T507ZZ,PR101,PR-10,PR-10.1
0T508ZZ,PR101,PR-10,PR-10.1
0T517ZZ,PR101,PR-10,PR-10.1
0T518ZZ,PR101,PR-10,PR-10.1
0T537ZZ,PR101,PR-10,PR-10.1
0T538ZZ,PR101,PR-10,PR-10.1
0T547ZZ,PR101,PR-10,PR-10.1
0T548ZZ,PR101,PR-10,PR-10.1
0T567ZZ,PR101,PR-10,PR-10.1
0T568ZZ,PR101,PR-10,PR-10.1
0T577ZZ,PR101,PR-10,PR-10.1
0T578ZZ,PR101,PR-10,PR-10.1
0T5B7ZZ,PR101,PR-10,PR-10.1
0T5B8ZZ,PR101,PR-10,PR-10.1
0T5C7ZZ,PR101,PR-10,PR-10.1
0T5C8ZZ,PR101,PR-10,PR-10.1
0TBB7ZZ,PR101,PR-10,PR-10.1
0TBB8ZZ,PR101,PR-10,PR-10.1
0TBC7ZZ,PR101,PR-10,PR-10.1
0TBC8ZZ,PR101,PR-10,PR-10.1
0TC37ZZ,PR101,PR-10,PR-10.1
0TC38ZZ,PR101,PR-10,PR-10.1
0TC47ZZ,PR101,PR-10,PR-10.1
0TC48ZZ,PR101,PR-10,PR-10.1
0TC67ZZ,PR101,PR-10,PR-10.1
0TC68ZZ,PR101,PR-10,PR-10.1
0TC77ZZ,PR101,PR-10,PR-10.1
0TC78ZZ,PR101,PR-10,PR-10.1
0TCB7ZZ,PR101,PR-10,PR-10.1
0TCB8ZZ,PR101,PR-10,PR-10.1
