I10_DX,CCS,CCS_lvl1,CCS_lvl2
B484,DX4,DX-1,DX-1.2
B488,DX4,DX-1,DX-1.2
B49,DX4,DX-1,DX-1.2
B20,DX5,DX-1,DX-1.3
B9735,DX5,DX-1,DX-1.3
R75,DX5,DX-1,DX-1.3
Z21,DX5,DX-1,DX-1.3
B150,DX6,DX-1,DX-1.3
B159,DX6,DX-1,DX-1.3
B160,DX6,DX-1,DX-1.3
B161,DX6,DX-1,DX-1.3
B162,DX6,DX-1,DX-1.3
B169,DX6,DX-1,DX-1.3
B170,DX6,DX-1,DX-1.3
B1710,DX6,DX-1,DX-1.3
B1711,DX6,DX-1,DX-1.3
B172,DX6,DX-1,DX-1.3
B178,DX6,DX-1,DX-1.3
B179,DX6,DX-1,DX-1.3
B180,DX6,DX-1,DX-1.3
B181,DX6,DX-1,DX-1.3
B182,DX6,DX-1,DX-1.3
B188,DX6,DX-1,DX-1.3
B189,DX6,DX-1,DX-1.3
B190,DX6,DX-1,DX-1.3
B1910,DX6,DX-1,DX-1.3
B1911,DX6,DX-1,DX-1.3
B1920,DX6,DX-1,DX-1.3
B1921,DX6,DX-1,DX-1.3
B199,DX6,DX-1,DX-1.3
B251,DX6,DX-1,DX-1.3
B2681,DX6,DX-1,DX-1.3
B581,DX6,DX-1,DX-1.3
B942,DX6,DX-1,DX-1.3
K712,DX6,DX-1,DX-1.3
K713,DX6,DX-1,DX-1.3
K714,DX6,DX-1,DX-1.3
K7150,DX6,DX-1,DX-1.3
K7151,DX6,DX-1,DX-1.3
K716,DX6,DX-1,DX-1.3
K730,DX6,DX-1,DX-1.3
K731,DX6,DX-1,DX-1.3
K732,DX6,DX-1,DX-1.3
K738,DX6,DX-1,DX-1.3
K739,DX6,DX-1,DX-1.3
K752,DX6,DX-1,DX-1.3
K753,DX6,DX-1,DX-1.3
K754,DX6,DX-1,DX-1.3
K7581,DX6,DX-1,DX-1.3
A6000,DX7,DX-1,DX-1.3
A6001,DX7,DX-1,DX-1.3
A6002,DX7,DX-1,DX-1.3
A6003,DX7,DX-1,DX-1.3
A6004,DX7,DX-1,DX-1.3
A6009,DX7,DX-1,DX-1.3
A601,DX7,DX-1,DX-1.3
