I9_DX,CCS,CCS_lvl1,CCS_lvl2,CCS_lvl3,CCS_lvl4
01662,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01663,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01664,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01665,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01666,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01670,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01671,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01672,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01673,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01674,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01675,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01676,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01690,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01691,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01692,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01693,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01694,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01695,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01696,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01700,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01701,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01702,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01703,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01704,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01705,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01706,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01710,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01711,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01712,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01713,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01714,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01715,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01716,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01720,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01721,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01722,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01723,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01724,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01725,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01726,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01730,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01731,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01732,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01733,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01734,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01735,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01736,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01740,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01741,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01742,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01743,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01744,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01745,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01746,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01750,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01751,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01752,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01753,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01754,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01755,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01756,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01760,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01761,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01762,DX1,DX-1,DX-1.1,DX-1.1.1,NA
